,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
798,w164088179,other,10696.724021289856,nr1,0.107,28049.40087140048,2463.754877232073,-8864.321220410948,-24926.305293056565,-33790.62651346751
799,w164088182,other,13052.522454425663,nr1,0.107,34399.532157422145,2845.4381235960636,-10614.22184411062,-30415.96276541665,-41030.18460952727
800,w359788107,other,146448.46418695297,nr2,0.0985,253930.69430403985,46109.15580262688,-38686.8822931684,-314155.3016690057,-352842.1839621741
801,w377595955,other,5269.498540512313,nr0,0.1312,,5269.498540512313,,-15056.584463863304,
802,w377595956,other,28267.306595759732,nr1,0.107,61857.73901063842,6722.920315991011,-11653.400870081401,-65870.58922114504,-77523.99009122644
803,w377595957,other,10580.502130887347,nr1,0.107,26512.66128079986,2525.1501781790184,-7741.47847599052,-24655.476362989462,-32396.954838979982
804,w377595958,other,8779.878134358778,nr1,0.107,20238.9470055608,2062.9483801043357,-4586.655579388949,-20459.52783088341,-25046.18341027236
805,w377595969,other,13210.985853090617,nr1,0.107,33520.23609103182,3090.1691164444,-9935.95296933829,-30785.226013214426,-40721.178982552716
806,w377595973,other,8444.976424306851,nr1,0.107,19734.26052418786,1997.1656740440644,-4709.090302630433,-19679.114851049002,-24388.205153679435
807,w377595974,other,8999.242144231297,nr1,0.107,20717.555031787888,2136.2317564923474,-4724.855602157157,-20970.706231813314,-25695.56183397047
808,w377595977,other,8536.860558488492,nr1,0.107,21350.177815222727,2043.3185498294363,-6218.441199510202,-19893.23012369148,-26111.67132320168
809,w377595979,other,1078.8263519284794,nr0,0.1312,,1078.8263519284794,,-3082.540011117157,
810,w377595980,other,7734.011162615932,nr1,0.107,18100.18053946549,1857.3254011545112,-4405.8884262917345,-18022.370493580875,-22428.25891987261
811,w377595981,other,6596.527806654935,nr1,0.107,17230.346876051983,1519.8528297420662,-5400.299648855029,-15371.721814600061,-20772.02146345509
812,w377595982,other,1562.0916904953783,nr0,0.1312,,1562.0916904953783,,-4463.378307711994,
813,w377595983,other,6048.387319975053,nr1,0.107,15981.59485237106,1391.9455946218059,-5130.806536764294,-14094.403909859006,-19225.2104466233
814,w377595984,other,12044.391815934709,nr1,0.107,27131.94306854108,2841.029831970761,-5685.581539702318,-28066.741450526693,-33752.32299022901
815,w377595985,other,8686.153631054553,nr1,0.107,19738.25988362111,2070.904182993356,-4322.911501826198,-20241.123992647375,-24564.035494473574
816,w377595986,other,6584.698473519628,nr1,0.107,17387.28452459938,1495.4378130418736,-5527.909197487381,-15344.156218950677,-20872.065416438058
817,w377595987,other,6484.295832988605,nr1,0.107,15238.452367734935,1552.772690655952,-3746.648787414597,-15110.19048653352,-18856.839273948117
818,w377595990,other,11553.454485655837,nr1,0.107,25340.65912315366,2791.57936980043,-4923.0832707001355,-26922.722613550693,-31845.80588425083
819,w377595993,other,17992.688240944255,nr1,0.107,37407.11585576792,4220.0307815631595,-5313.040712205475,-41927.90608077076,-47240.94679297623
820,w377595995,other,7807.379128205863,nr1,0.107,20443.535964459086,1828.251375667195,-6510.525871898579,-18193.338007128506,-24703.863879027085
821,w377595997,other,3309.5604194238044,nr0,0.1312,8471.566698764624,701.6838172880525,-1020.0579774865128,-9456.436055577447,-10476.49403306396
822,w377596000,other,10206.448656415974,nr1,0.107,25183.308838884222,2336.8247118740096,-6844.9233114293165,-23783.829017311968,-30628.752328741284
823,w377596001,other,20374.762221645513,nr1,0.107,43684.35760067136,4836.798385703419,-7476.633681057487,-47478.792796687565,-54955.42647774505
824,w377596003,other,3440.6914080274864,nr0,0.1312,8930.96741917604,738.2021828644249,-1209.1212191024879,-9831.11778108928,-11040.239000191768
825,w377596004,other,11646.700243681342,nr1,0.107,29770.75093239465,2630.7606042728767,-8761.134950120624,-27140.01084377895,-35901.14579389957
826,w377596005,other,9760.113220127721,nr1,0.107,23891.49135565372,2210.815578821392,-6299.554106377804,-22743.744845196532,-29043.298951574336
827,w377596008,other,13998.601039715508,nr1,0.107,33608.866736649,3243.63691899437,-8546.846013725019,-32620.58575103559,-41167.43176476061
828,w377596009,other,9562.9297003836,nr1,0.107,24593.86081945129,2236.5080043715557,-7521.28574534478,-22284.253079108254,-29805.538824453033
829,w377596010,other,9501.530557015318,nr1,0.107,21823.159637445624,2310.1481999189346,-5065.263317477751,-22141.176209097965,-27206.439526575716
830,w377596011,other,4166.4288429917015,nr0,0.1312,12034.69918820985,529.9085647759093,-1644.0378562903115,-11904.773728447,-13548.811584737312
831,w377596012,other,12242.593103107998,nr1,0.107,30637.890594368968,2925.7385905314077,-8927.060298172168,-28528.604894299315,-37455.66519247148
832,w377596014,other,1525.8341492466775,nr0,0.1312,,1525.8341492466775,,-4359.779316637981,
833,w377596016,other,7300.804170382239,nr1,0.107,18453.886477570635,1766.6996301619452,-5557.902714815991,-17012.879202414366,-22570.781917230357
834,w377596017,other,8447.455767279585,nr1,0.107,22445.728508198576,1967.4301511181384,-7345.4887998743,-19684.892401235542,-27030.38120110984
835,w377596018,other,10753.516947666552,nr1,0.107,24151.37250002571,2579.124559038011,-5102.792779856103,-25058.64841217735,-30161.441192033453
836,w377596021,other,14380.159647722914,nr1,0.107,31557.68817251246,3488.321395519886,-6176.713124764472,-33509.72211946546,-39686.435244229935
837,w377596022,other,4526.9134644914075,nr0,0.1312,11681.625283375995,986.798221648556,-1566.4229057905213,-12934.789603734906,-14501.212509525427
838,w377596023,other,10917.67630164897,nr1,0.107,28219.458580276896,2490.0711216668888,-8580.82350027719,-25441.184800508257,-34022.00830078545
