,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
17,0.027,11722.363,1600.76,8752.01,1195.14,-2970.352999999999,-405.6199999999999,1.60076,1.19514,-0.40561999999999987
18,0.028,8512.689,1134.42,13724.815,1829.0,5212.126,694.5799999999999,1.13442,1.829,0.69458
19,0.029,11950.039999999999,1556.4,12530.646999999999,1632.02,580.607,75.61999999999989,1.5564,1.63202,0.0756199999999999
20,0.03,18092.513,2305.66,11155.688,1421.65,-6936.824999999999,-884.0099999999998,2.30566,1.42165,-0.8840099999999997
21,0.031,16223.773000000001,2025.44,9612.803,1200.1,-6610.970000000001,-825.3400000000001,2.02544,1.2001,-0.8253400000000002
22,0.032,8983.534,1099.98,11915.817000000001,1459.02,2932.2830000000013,359.03999999999996,1.09998,1.45902,0.35903999999999997
23,0.033,9826.417,1181.06,8442.052,1014.6700000000001,-1384.3649999999998,-166.38999999999987,1.18106,1.0146700000000002,-0.16638999999999987
24,0.034,7455.856,880.37,13211.387,1559.97,5755.531000000001,679.6,0.88037,1.55997,0.6796
25,0.035,3783.518,439.28,12163.624,1412.24,8380.106,972.96,0.43927999999999995,1.41224,0.97296
26,0.036,6229.245,711.67,7200.479,822.63,971.2340000000004,110.96000000000004,0.7116699999999999,0.82263,0.11096000000000003
27,0.037,7767.741,873.86,9612.210000000001,1081.36,1844.469000000001,207.4999999999999,0.87386,1.0813599999999999,0.20749999999999988
28,0.038,6254.321,693.23,10299.787,1141.63,4045.4660000000003,448.4000000000001,0.69323,1.1416300000000001,0.4484000000000001
29,0.039,7686.841,840.0,11693.693,1277.86,4006.851999999999,437.8599999999999,0.84,1.27786,0.4378599999999999
30,0.04,10539.695,1136.11,9902.084,1067.38,-637.610999999999,-68.72999999999979,1.13611,1.0673800000000002,-0.06872999999999979
31,0.041,11887.762999999999,1264.79,7974.581999999999,848.4499999999999,-3913.1809999999996,-416.34000000000003,1.2647899999999999,0.8484499999999999,-0.41634000000000004
32,0.042,10357.053,1088.04,10581.604,1111.63,224.55099999999948,23.590000000000146,1.08804,1.1116300000000001,0.023590000000000146
33,0.043,7684.229,797.45,15766.709,1636.23,8082.4800000000005,838.78,0.79745,1.63623,0.83878
34,0.044,7612.215,780.74,9058.919,929.12,1446.7039999999997,148.38,0.78074,0.9291200000000001,0.14837999999999998
35,0.045,10052.536,1019.3199999999999,10049.376,1019.0,-3.1599999999998545,-0.31999999999993634,1.01932,1.019,-0.00031999999999993633
36,0.046,8228.17,825.21,8651.039999999999,867.62,422.869999999999,42.40999999999997,0.82521,0.8676200000000001,0.04240999999999997
37,0.047,10354.945,1027.48,6660.9529999999995,660.9399999999999,-3693.992,-366.5400000000001,1.02748,0.66094,-0.3665400000000001
38,0.048,9035.478,887.31,8316.048999999999,816.66,-719.4290000000001,-70.64999999999998,0.8873099999999999,0.8166599999999999,-0.07064999999999998
39,0.049,3635.849,353.51,4882.392,474.71000000000004,1246.5429999999997,121.20000000000005,0.35351,0.47471,0.12120000000000004
40,0.05,5741.174,552.78,4068.717,391.75,-1672.4569999999999,-161.02999999999997,0.5527799999999999,0.39175,-0.16102999999999998
41,0.051,4131.221,394.05,7325.067,698.69,3193.8460000000005,304.64000000000004,0.39405,0.69869,0.30464
