,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
107,w99390011,2554.974828636646,ab,247425.31787724234,274917.0198636026,309281.6473465529,r2,-408389.7161083709,-1055145.5457998253,-646755.8296914544,0.0928663828498012,-253.1358909851054
108,w99390014,587.280543653667,trade,43622.5019390578,48469.44659895311,54528.12742382225,nr1,-73094.44920583871,-362787.17268732697,-289692.72348148824,0.10088023314648455,-493.2782579160783
109,w99390021,1617.1983746248297,other,56431.07453005592,62701.19392228436,70538.8431625699,nr2,-87045.15440950153,-503267.7421204725,-416222.58771097095,0.0928663828498012,-257.37262307571234
110,w99390022,5590.431437242403,education,501507.8998853299,557230.9998725888,626884.8748566624,nr2,-773577.9080345666,-729333.8291541763,44244.07888039027,0.0928663828498012,7.914251230351299
111,w99390025,237.89438336268066,education,22880.136119028128,25422.373465586807,28600.170148785157,nr1,-38338.262892655606,-36145.541112545005,2192.7217801106017,0.10088023314648455,9.217207018997582
112,w99390027,116.0190749399364,mfh,12111.38188864718,13457.090987385754,15139.227360808974,r1,-21716.470108391837,-66256.98750826156,-44540.51739986973,0.10088425840893965,-383.9068482741183
113,w99390046,1095.085822885856,mfh,104637.32667388588,116263.69630431764,130796.65834235735,r2,-172709.9251657366,-440682.12150879094,-267972.1963430543,0.0928663828498012,-244.70428777616073
114,w99390052,1678.6958267321402,education,80452.87476272321,89392.08306969245,100566.093453404,nr2,-124098.87574761001,-767126.3638700087,-643027.4881223987,0.0928663828498012,-383.0518178949419
115,w99390065,2581.633286331594,education,86800.34062073754,96444.82291193059,108500.42577592192,nr2,-133889.86679857114,-756329.0822004904,-622439.2154019193,0.0928663828498012,-241.10287804910612
116,w99390082,124.21957990797236,education,9140.033185312222,10155.592428124692,11425.041481640277,nr1,-15315.162168754652,-95551.34136841765,-80236.17919966299,0.10088023314648455,-645.9221586412197
117,w99390107,332.09000708311794,education,26712.358260262183,29680.39806695798,33390.44782532773,nr1,-44759.58570076169,-42199.60225264387,2559.9834481178186,0.10088023314648455,7.708703645144875
118,w99390110,1066.5973296171287,mfh,111016.92938734422,123352.1437637158,138771.16173418026,r2,-183239.82632292568,-534059.0171636944,-350819.1908407687,0.0928663828498012,-328.91437199331875
119,w99390116,694.0162199864862,ab,76366.64546448652,84851.8282938739,95458.30683060814,r2,-126047.54003736822,-391510.5615219777,-265463.02148460946,0.0928663828498012,-382.5026185840131
120,w99390122,307.42072394330467,other,23978.9127918091,26643.236435343442,29973.640989761374,nr1,-40179.3878196337,-265663.77694857103,-225484.38912893733,0.10088023314648455,-733.4716613656851
121,w99390129,1196.3697846690193,trade,62972.859261591475,69969.84362399053,78716.07407698935,nr2,-97135.88308713722,-422812.1913361295,-325676.3082489923,0.0928663828498012,-272.2204392173713
122,w99390130,964.417538562417,education,49512.76423577884,55014.18248419871,61890.95529472355,nr1,-82964.25169580664,-396579.91143259837,-313615.65973679174,0.10088023314648455,-325.1865993688527
123,w99390133,9252.387912133521,education,680645.1328091653,756272.3697879614,850806.4160114565,nr2,-1049897.7943773482,-989849.8530538952,60047.94132345298,0.0928663828498012,6.489993923050556
